               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088382,            0.040282,                   0,          0.00076812,             0.22222,          0.00046062,          0.00012918,            0.089478,            0.027396,                   0,               9e-05,               9e-05,             0.09919
                   1,            0.088744,            0.035912,                   0,          0.00085765,             0.22222,          0.00048123,          0.00013335,            0.089068,            0.026234,                   0,          0.00018988,          0.00018988,             0.09829
                   2,            0.080365,            0.035258,                   0,           0.0013618,             0.22222,          0.00082833,          0.00017084,            0.087063,            0.025556,                   0,          0.00028929,          0.00028929,            0.097389
                   3,            0.084719,            0.035224,                   0,           0.0019338,             0.33333,           0.0012626,          0.00024664,            0.083214,            0.025047,                   0,          0.00038784,          0.00038784,            0.096488
                   4,             0.08575,            0.034005,                   0,            0.002553,             0.33333,           0.0017181,          0.00029497,            0.078168,             0.02434,                   0,          0.00048518,          0.00048518,            0.095585
                   5,             0.08981,            0.030878,                   0,           0.0027073,             0.33333,           0.0018659,          0.00035628,            0.073107,             0.02411,                   0,          0.00058095,          0.00058095,            0.094681
                   6,            0.082089,            0.035911,                   0,           0.0030871,             0.33333,           0.0021666,          0.00032007,            0.069547,            0.023828,                   0,           0.0006748,           0.0006748,            0.093775
                   7,            0.084565,             0.03022,                   0,           0.0047186,             0.55556,           0.0033146,          0.00063432,            0.060888,            0.023919,                   0,          0.00076639,          0.00076639,            0.092866
                   8,            0.083357,            0.031416,                   0,           0.0056525,             0.33333,           0.0037637,          0.00069757,            0.055732,            0.024106,                   0,          0.00085537,          0.00085537,            0.091955
                   9,            0.070479,            0.030672,                   0,            0.011262,             0.44444,           0.0066716,           0.0012798,             0.05227,            0.023803,                   0,          0.00094144,          0.00094144,            0.091041
                  10,            0.073822,              0.0307,                   0,            0.027007,             0.22222,            0.013305,           0.0027682,            0.051481,            0.023552,                   0,           0.0010243,           0.0010243,            0.090124
                  11,            0.074571,            0.029929,                   0,             0.08986,             0.22222,            0.037826,            0.010212,            0.045659,            0.023949,                   0,           0.0011036,           0.0011036,            0.089204
                  12,            0.071321,            0.027795,                   0,             0.20812,             0.33333,             0.08057,            0.019924,            0.043072,            0.023842,                   0,           0.0011791,           0.0011791,            0.088279
                  13,            0.070768,            0.031656,                   0,             0.19569,             0.22222,            0.060446,            0.021234,            0.044497,            0.022864,                   0,           0.0012506,           0.0012506,            0.087351
                  14,            0.062192,            0.025852,                   0,             0.18113,             0.22129,            0.066453,            0.012479,            0.048806,            0.021855,                   0,           0.0013178,           0.0013178,            0.086418
                  15,            0.073551,            0.030255,                   0,             0.12982,             0.33333,            0.081176,            0.011942,            0.049046,            0.021001,                   0,           0.0013804,           0.0013804,             0.08548
                  16,            0.072107,            0.027571,                   0,             0.13828,             0.22222,            0.072388,            0.013657,            0.048104,            0.020043,                   0,           0.0014384,           0.0014384,            0.084538
                  17,            0.079726,            0.032458,                   0,             0.33271,              0.3325,             0.17877,            0.030852,            0.047613,            0.019608,                   0,           0.0014914,           0.0014914,            0.083591
                  18,            0.066324,              0.0256,                   0,             0.74894,             0.66338,             0.57502,             0.12991,            0.044349,            0.019179,                   0,           0.0015394,           0.0015394,            0.082639
                  19,            0.071681,            0.026208,                   0,                   1,             0.55107,             0.58847,             0.21279,            0.041441,            0.019349,                   0,           0.0015822,           0.0015822,            0.081682
                  20,            0.062352,            0.026054,                   0,             0.82385,             0.55556,              0.5866,             0.20631,            0.040925,            0.019032,                   0,           0.0016198,           0.0016198,             0.08072
                  21,            0.066217,             0.03076,                   0,                   1,             0.55118,             0.60807,             0.18725,            0.036633,            0.019495,                   0,           0.0016519,           0.0016519,            0.079752
                  22,            0.065723,            0.030873,                   0,                   1,             0.55131,             0.71732,             0.17278,            0.037001,            0.019142,                   0,           0.0016786,           0.0016786,            0.078779
                  23,            0.047504,            0.025225,                   0,             0.74923,             0.66667,             0.72659,             0.13045,            0.037356,            0.018645,                   0,           0.0016999,           0.0016999,              0.0778
                  24,            0.048762,             0.02538,                   0,             0.52593,                   1,             0.72337,             0.16134,            0.036281,            0.018712,                   0,           0.0017158,           0.0017158,            0.076816
                  25,            0.065217,            0.028761,                   0,              0.5577,                   1,              0.6944,             0.16214,            0.035695,            0.018416,                   0,           0.0017262,           0.0017262,            0.075826
                  26,            0.066159,            0.027519,                   0,             0.49932,             0.88889,             0.59097,             0.13402,            0.034658,            0.018152,                   0,           0.0017312,           0.0017312,            0.074831
                  27,            0.062581,            0.030691,                   0,             0.59844,                   1,             0.72888,              0.1763,            0.034519,            0.017941,                   0,           0.0017309,           0.0017309,            0.073831
                  28,            0.062962,             0.02617,                   0,             0.77387,             0.77778,             0.70523,             0.22769,            0.037473,            0.017514,                   0,           0.0017254,           0.0017254,            0.072825
                  29,            0.064037,            0.027257,                   0,             0.89644,                   1,              0.8955,             0.25559,            0.038551,            0.017227,                   0,           0.0017149,           0.0017149,            0.071815
                  30,            0.055692,            0.027013,                   0,             0.89946,             0.99464,              0.8955,             0.25622,            0.039673,            0.017089,                   0,           0.0016995,           0.0016995,              0.0708
                  31,             0.05744,            0.025288,                   0,             0.89514,                   1,              0.8955,             0.24694,            0.038959,            0.016959,                   0,           0.0016794,           0.0016794,            0.069779
                  32,            0.062064,            0.026451,                   0,             0.79953,             0.88889,             0.75231,             0.22574,            0.038952,            0.016871,                   0,           0.0016547,           0.0016547,            0.068755
                  33,             0.05889,            0.023425,                   0,                   1,              0.9995,               0.995,             0.30785,            0.039932,            0.016434,                   0,           0.0016259,           0.0016259,            0.067726
                  34,            0.066001,            0.023011,                   0,                   1,             0.88777,              0.9675,             0.40242,            0.032464,            0.017013,                   0,            0.001593,            0.001593,            0.066693
                  35,            0.047708,            0.024874,                   0,             0.89985,             0.99854,               0.984,             0.39376,            0.031336,            0.016877,                   0,           0.0015564,           0.0015564,            0.065656
                  36,            0.052429,            0.027944,                   0,             0.89985,             0.99854,               0.984,             0.39376,            0.031336,            0.016877,                   0,           0.0015164,           0.0015164,            0.064616
                  37,            0.049811,            0.025389,                   0,                 0.9,                   1,               0.984,             0.39481,             0.03085,            0.016675,                   0,           0.0014733,           0.0014733,            0.063573
                  38,            0.052944,            0.021331,                   0,                   1,             0.99953,               0.995,             0.34834,            0.031326,            0.016444,                   0,           0.0014275,           0.0014275,            0.062528
                  39,             0.05368,            0.027023,                   0,                   1,             0.99917,               0.995,             0.29192,            0.032601,            0.016119,                   0,           0.0013794,           0.0013794,            0.061479
                  40,            0.043624,            0.027222,                   0,                   1,             0.99917,               0.995,             0.29192,            0.032601,            0.016119,                   0,           0.0013293,           0.0013293,            0.060429
                  41,            0.047782,            0.029133,                   0,             0.89918,                   1,               0.907,             0.28875,            0.032969,            0.015951,                   0,           0.0012776,           0.0012776,            0.059378
                  42,            0.049373,            0.026497,                   0,             0.99981,                   1,               0.995,             0.22836,            0.034378,            0.015706,                   0,           0.0012248,           0.0012248,            0.058325
                  43,            0.048277,            0.027248,                   0,                   1,              0.9995,               0.995,             0.31777,            0.030621,            0.015868,                   0,           0.0011713,           0.0011713,            0.057271
                  44,            0.046974,            0.025441,                   0,                   1,              0.9995,               0.995,             0.31777,            0.030621,            0.015868,                   0,           0.0011175,           0.0011175,            0.056218
                  45,            0.045454,            0.028712,                   0,                   1,             0.99952,               0.995,             0.36367,            0.029267,            0.015754,                   0,            0.001064,            0.001064,            0.055164
                  46,            0.049174,            0.024456,                   0,                   1,             0.99952,               0.995,             0.36367,            0.029267,            0.015754,                   0,           0.0010111,           0.0010111,            0.054111
                  47,            0.055088,            0.026653,                   0,             0.99946,                   1,               0.995,             0.41242,            0.029277,            0.015589,                   0,          0.00095936,          0.00095936,            0.053059
                  48,            0.049857,            0.026306,                   0,             0.99962,                   1,               0.995,             0.35158,            0.029175,            0.015518,                   0,          0.00090926,          0.00090926,            0.052009
                  49,            0.054735,            0.027007,                   0,             0.99962,                   1,               0.995,             0.35158,            0.029175,            0.015518,                   0,          0.00086127,          0.00086127,            0.050961
                  50,            0.058563,            0.028468,                   0,             0.99958,                   1,               0.995,             0.35011,            0.028612,            0.015651,                   0,          0.00081587,          0.00081587,            0.049916
                  51,            0.046563,            0.024766,                   0,             0.99958,                   1,               0.995,             0.35011,            0.028612,            0.015651,                   0,          0.00077355,          0.00077355,            0.048874
                  52,             0.04476,            0.028421,                   0,             0.99995,                   1,               0.995,              0.3212,            0.028431,            0.015687,                   0,          0.00073481,          0.00073481,            0.047835
                  53,             0.04466,            0.025155,                   0,             0.99979,                   1,               0.995,              0.3854,            0.028964,              0.0155,                   0,           0.0007001,           0.0007001,              0.0468
                  54,            0.048642,            0.025401,                   0,             0.99979,                   1,               0.995,              0.3854,            0.028964,              0.0155,                   0,          0.00066991,          0.00066991,             0.04577
                  55,            0.052751,            0.027366,                   0,             0.99923,                   1,               0.995,              0.4532,            0.030383,            0.015241,                   0,          0.00064471,          0.00064471,            0.044745
                  56,            0.044143,            0.024622,                   0,             0.99923,                   1,               0.995,              0.4532,            0.030383,            0.015241,                   0,          0.00062495,          0.00062495,            0.043725
                  57,             0.05569,            0.026433,                   0,             0.99952,                   1,               0.995,             0.44471,            0.030107,            0.015193,                   0,          0.00061108,          0.00061108,            0.042711
                  58,            0.040056,             0.02683,                   0,             0.99952,                   1,               0.995,             0.44471,            0.030107,            0.015193,                   0,          0.00060352,          0.00060352,            0.041704
                  59,            0.049391,            0.023467,                   0,             0.99971,                   1,               0.995,             0.53362,            0.029295,            0.015106,                   0,          0.00060269,          0.00060269,            0.040703
